order_id,customer_id,order_date,shipment_date,order_ammount,order_status
1,69,2021-01-22 14:09:37,2021-01-29 14:09:37,4180,Approved
2,90,2020-02-19 06:43:02,2020-02-24 06:43:02,4069,Cancel
3,47,2023-05-30 08:44:04,2023-06-04 08:44:04,1925,Cancel
4,66,2022-09-12 15:59:47,2022-09-17 15:59:47,6583,Approved
5,32,2021-04-09 19:12:06,2021-04-16 19:12:06,7354,Approved
6,36,2023-04-20 12:25:04,2023-04-25 12:25:04,6540,Cancel
7,69,2023-10-01 22:44:55,2023-10-08 22:44:55,3245,Approved
8,69,2020-11-26 22:30:07,2020-12-03 22:30:07,2001,Cancel
9,45,2020-01-04 03:15:27,2020-01-11 03:15:27,4469,Cancel
10,57,2020-01-30 20:48:44,2020-02-06 20:48:44,2369,Approved
11,55,2020-02-18 08:03:52,2020-02-25 08:03:52,3258,Cancel
12,73,2021-11-22 07:59:47,2021-11-27 07:59:47,4237,Cancel
13,7,2020-12-02 07:24:56,2020-12-09 07:24:56,6296,Approved
14,90,2021-08-30 02:23:58,2021-09-06 02:23:58,3725,Approved
15,84,2022-07-24 07:36:14,2022-07-29 07:36:14,6535,Approved
16,75,2020-12-24 22:26:01,2021-01-03 22:26:01,1726,Approved
17,73,2021-10-07 09:53:20,2021-10-12 09:53:20,6470,Approved
18,46,2023-01-23 22:05:21,2023-02-02 22:05:21,4643,Approved
19,85,2020-10-13 23:28:39,2020-10-20 23:28:39,2343,Cancel
20,30,2023-09-26 07:04:51,2023-10-06 07:04:51,4513,Approved
21,57,2020-05-31 03:55:38,2020-06-10 03:55:38,2641,Approved
22,21,2021-07-02 03:50:40,2021-07-12 03:50:40,4034,Approved
23,10,2022-03-12 17:11:12,2022-03-19 17:11:12,3838,Approved
24,48,2023-07-18 02:20:07,2023-07-25 02:20:07,5203,Approved
25,13,2023-05-19 23:30:26,2023-05-26 23:30:26,3627,Approved
26,87,2022-08-31 14:41:04,2022-09-10 14:41:04,6132,Cancel
27,44,2021-02-17 16:52:08,2021-02-24 16:52:08,1746,Approved
28,57,2020-05-05 23:44:28,2020-05-15 23:44:28,1075,Approved
29,70,2022-03-15 10:59:25,2022-03-22 10:59:25,2541,Cancel
30,10,2022-05-13 02:58:08,2022-05-20 02:58:08,1453,Cancel
31,1,2022-06-02 22:03:20,2022-06-09 22:03:20,7431,Cancel
32,90,2023-06-18 19:57:58,2023-06-23 19:57:58,6986,Approved
33,94,2021-10-17 18:12:22,2021-10-27 18:12:22,2761,Cancel
34,46,2023-03-06 02:01:08,2023-03-16 02:01:08,3745,Approved
35,78,2021-04-19 14:04:26,2021-04-29 14:04:26,1045,Cancel
36,4,2023-06-21 10:13:01,2023-06-26 10:13:01,3750,Cancel
37,83,2023-07-05 06:10:19,2023-07-15 06:10:19,7476,Approved
38,41,2022-09-14 10:11:23,2022-09-24 10:11:23,7483,Cancel
39,74,2022-01-25 12:34:05,2022-02-01 12:34:05,1307,Cancel
40,68,2023-02-28 23:33:32,2023-03-10 23:33:32,5736,Cancel
41,23,2022-09-28 22:50:59,2022-10-08 22:50:59,7658,Cancel
42,60,2023-01-25 16:48:39,2023-01-30 16:48:39,7374,Approved
